id, name, shortName, colorId, professor, eventType, groups, classroom, start, end, description, recurring, recurringType, recurringUntil, studyCode
535336,IP komunikacije,IK,0,Meter Davor,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-05-03T08:00,2024-05-03T09:30,petak 3.5.2024. 8:00 - 9:30 (2 sata),true,WEEKLY,do 7.6.2024.,250
532060,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,PREDAVANJE,,C501,2024-05-06T10:15,2024-05-06T12:00,ponedjeljak 6.5.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
534199,Metode optimizacije,MO,0,Bašić Martina,LABORATORIJSKA_VJEZBA,Grupa 1,B420,2024-05-06T18:30,2024-05-06T20:00,ponedjeljak 6.5.2024. 18:30 - 20:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
532072,Jezici i prevoditelji,JIP,0,Sikora Marjan,PREDAVANJE,,B401,2024-05-08T08:15,2024-05-08T11:00,srijeda 8.5.2024. 8:15 - 11:00 (3 sata),true,WEEKLY,do 9.6.2024.,250
532096,Napredne računalne arhitekture,NRA,0,Gotovac Sven,PREDAVANJE,,B401,2024-05-08T11:15,2024-05-08T13:00,srijeda 8.5.2024. 11:15 - 13:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
537778,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,LABORATORIJSKA_VJEZBA,Grupa 4,A507,2024-05-08T13:15,2024-05-08T14:45,srijeda 8.5.2024. 13:15 - 14:45 (2 sata),true,WEEKLY,do 7.6.2024.,250
535596,Jezici i prevoditelji,JIP,0,Sikora Marjan,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-05-09T08:30,2024-05-09T10:00,četvrtak 9.5.2024. 8:30 - 10:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
538990,Podržano strojno učenje,PSU,0,Vasilj Josip,LABORATORIJSKA_VJEZBA,Grupa 1,A507,2024-05-09T10:00,2024-05-09T12:15,četvrtak 9.5.2024. 10:00 - 12:15 (3 sata),true,WEEKLY,do 13.6.2024.,250
535337,IP komunikacije,IK,0,Meter Davor,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-05-10T08:00,2024-05-10T09:30,petak 10.5.2024. 8:00 - 9:30 (2 sata),true,WEEKLY,do 7.6.2024.,250
532061,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,PREDAVANJE,,C501,2024-05-13T10:15,2024-05-13T12:00,ponedjeljak 13.5.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
534200,Metode optimizacije,MO,0,Bašić Martina,LABORATORIJSKA_VJEZBA,Grupa 1,B420,2024-05-13T18:30,2024-05-13T20:00,ponedjeljak 13.5.2024. 18:30 - 20:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
